experiment,feature_set,model,feature_count,accuracy,balanced_accuracy,macro_f1,weighted_f1,roc_auc_macro
gabor_svm_v1,gabor,svm_rbf,60,0.7791164658634538,0.7433827150808283,0.7526188690266894,0.7731089700451804,0.9043554647916049
wavelet_rf_v1,wavelet,random_forest,28,0.751004016064257,0.7170072830450188,0.722365969548206,0.7468114480186716,0.9057833338363611
glcm_xgboost_v2,glcm_v2,xgboost,84,0.6485943775100401,0.5907307888439964,0.5891182795698925,0.6289762922658375,0.8071484565640223
lbp_logistic_regression,LBP,LogisticRegression,10,0.6144578313253012,0.5480741990175954,0.5447837555613565,0.5904246379562866,0.7506050460149168
glcm_xgboost_v1,glcm,xgboost,12,0.6224899598393574,0.5571057269170477,0.5406851201040869,0.5919255617253968,0.7888193368731627
